SessionID,isLearner,Completed,Prime UserID,Discipline,Practice,Specialty,Discipline Group,Practice Group,Specialty Group,Cohort,Team,Geolocation,Company,How would you proceed?,Would you diagnose EoE?,Would you diagnose EoE?,What is the patient’s EREFS?,Which of the following statements is true regarding the role of TSLP in EoE?,Targeting the eosinophil by inhibiting IL-5 has been shown to improve both histologic and symptomatic outcomes in EoE clinical trials.,Inhibiting IL-13 has been shown to improve both histologic and symptomatic outcomes in a phase 3 clinical trial of EoE.,Targeting the mast cell has been shown to be effective in clinical trials of EoE.
i0t05sjcf7ieaqlqsmpqe03a0r,,,410996,Physician,Consultant,Gastroenterology,MD/Resident/Fellow,Other,Other,13LV258,Camel - Table 16,US,gi associate of Delaware,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,,,,,
b2pqr2atb8ktkjgn6ls8r0fahj,,,426386,,,,Other,Other,Other,13LV258,Rhino - Table 15,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,False,,,,
22b381129c63bd3763e17cb234a1b4f8,,,,,,,Other,Other,Other,13LV258,Penguin - Table 12,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,True,
0abac686f1455371dda7f50210b5e876,,,,,,,Other,Other,Other,13LV258,Chameleon - Table 14,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,,,,,,
ca79c14db961b1e870bcabdc78652264,,,425257,Physician,Hospital,Gastroenterology,MD/Resident/Fellow,Hospital,Other,13LV258,Chameleon - Table 14,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,It is released after production of IL-4 and IL-13.,True,False,True,,
07aff143454b9930243f1d0f04a2dacf,,,,,,,Other,Other,Other,13LV258,Lemur - Table 6,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,False,False,,,
71ab9e0233b9e124fb5ab5ecd02fde37,,,,,,,Other,Other,Other,13LV258,Camel - Table 16,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,,,,,,
21e09f3ee987945c595a45efc264c5ef,,,150720,Physician,Hospital,Gastroenterology,MD/Resident/Fellow,Hospital,Other,13LV258,Phoenix,US,,Yes based on eosinophil levels EGD images and symptoms,,,,,,,
vedih8k8j2pedooe1d5vf8aeu1,,,,,,,Other,Other,Other,13LV258,Bull - Table 7,US,,E1 R2 Ex1 F1 S14,False,False,,,,,
bmid_7a593541c9b2,,,299214,Nurse Practitioner,None / Other,Family Medicine,NP/PA,Other,Other,13VS251,Virtual Team 2,US,,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,True,False,,,
d9erueufljj0jkofrk1p41g88c,,,,,,,Other,Other,Other,13LV258,Brown Bear - Table 8,US,,True,,,,,,,
189v7gc8pums1s8n70q477597m,,,,,,,Other,Other,Other,13LV258,Bull - Table 7,US,,E1 R2 Ex1 F1 S14,It is released after production of TGF-?,False,False,True,,,
2ae94e7d39bcdd0e3b706bd884401ad5,,,,,,,Other,Other,Other,13LV258,Ram - Table 10,US,,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,True,,,,
lhtb5k9s5cp7it3rgd73q1vrb3,,,,,,,Other,Other,Other,13LV258,,US,,False,False,,,,,,
1b5a1814db9eee53843773f68bbd8c63,,,,,,,Other,Other,Other,13LV258,Phoenix,US,,It is released upstream of the production of Th2 cytokines.,False,True,,,,,
d26d898bd4e2b01a77e1292d8266a710,,,,,,,Other,Other,Other,13LV258,Kangaroo - Table 13,US,,False,False,True,,,,,
e9dab9a30e6bbbfbc15368e598c70d58,,,,,,,Other,Other,Other,13LV258,Phoenix,US,,True,,,,,,,
9pv1kkckljbfg8qudhul6crdiu,,,,,,,Other,Other,Other,13LV258,Brown Bear - Table 8,US,,True,,,,,,,
